F,1002118,48,Kelly McClintock,47.75,-51,-53,53,53,68,-70,-70,68,121,1
F,199382,48,Ava Oteri,45.95,40,43,46,46,53,57,60,60,106,2
F,1001774,48,Camilla Haussmann,33.10,16,18,20,20,22,24,26,26,46,3
F,208127,53,Sarah Carter,53.00,65,69,72,72,85,-92,92,92,164,1
F,204451,53,Corrie Cooper,52.50,-53,53,56,56,65,68,-71,68,124,2
F,174826,53,Becca Lee,52.75,-60,-61,-61,0,75,77,-80,77,0,0
F,199245,58,Tiffany Black,55.05,53,-57,57,57,61,66,-68,66,123,1
F,216168,58,Hannah Gish,53.40,52,-54,-54,52,61,64,67,67,119,2
F,200385,58,Jada Gomez,54.45,46,50,-53,50,52,55,59,59,109,3
F,176626,58,Lindsey Stroker,57.25,73,-76,77,77,-93,-93,-93,0,0,0
F,192276,58,Danielle Bloomquist,58.00,-67,-67,-67,0,85,88,91,91,0,0
F,1010040,63,Michelle Basnett,62.30,71,-78,78,78,-92,-92,92,92,170,1
F,194082,63,Allison McCracken,62.90,75,79,82,82,84,86,-88,86,168,2
F,180401,63,Amanda Street,62.80,73,-75,-76,73,93,-96,-96,93,166,3
F,208851,63,Zinna Grogg,61.55,-68,68,75,75,90,-95,-95,90,165,4
F,190667,63,Dayna Heiser,62.20,65,-69,-69,65,83,-85,85,85,150,5
F,1010728,63,Morgan Farris,61.65,-58,59,-61,59,80,82,85,85,144,6
F,215564,63,Alissa Hanan,62.95,50,53,-56,53,66,69,73,73,126,7
F,1003917,63,Allyson Cochran,61.80,38,40,42,42,-50,50,52,52,94,8
F,190055,63,Tarah Colaizy,60.10,-38,38,39,39,45,-47,47,47,86,9
F,1011563,63,Cassidy Tindall,60.80,-32,34,36,36,39,-42,42,42,78,10
F,208442,63,Rebecca Garringer,62.35,-38,-40,-40,0,53,58,-61,58,0,0
F,219236,63,Crystal Lu,59.20,-50,-51,-51,0,56,59,-62,59,0,0
F,210636,69,Erin Owen,67.65,75,78,80,80,95,100,102,102,182,1
F,1010470,69,Amanda Wynn,67.55,59,-62,62,62,79,82,-85,82,144,2
F,217181,69,Whitney Batchelor,68.25,66,-69,-71,66,73,77,-80,77,143,3
F,176711,69,Amanda Ford,66.00,60,63,65,65,70,-73,74,74,139,4
F,170544,69,Ashley Denton,63.40,57,-59,-60,57,72,74,-77,74,131,5
F,200797,69,Katie Wachtler,67.95,48,-53,-55,48,72,76,-80,76,124,6
F,1003571,69,Ashlee Owens,67.40,48,53,-57,53,63,67,70,70,123,7
F,1006222,69,MaryBeth Brown,67.40,50,-53,-54,50,60,64,68,68,118,8
F,1002769,69,Abbey Kennedy,65.55,45,49,52,52,59,63,-67,63,115,9
F,1003058,69,Camryn Evett,63.85,45,-48,-48,45,53,55,58,58,103,10
F,180259,75,Genie Francisco,74.15,76,-79,79,76,97,100,103,103,182,1
F,1008976,75,Carlie Herron,71.70,-62,63,-68,63,78,83,88,88,151,2
F,1002216,75,Jaime Chase,74.00,-57,57,-60,57,66,69,-71,69,126,3
F,1009600,75,Cynthia Darby,74.05,-52,52,55,55,65,69,-75,69,124,4
F,1003068,75+,Lindsey Powell,103.95,58,62,-66,62,76,82,-86,82,144,1
F,217058,75+,Christina Brockington,128.45,53,54,56,56,77,79,82,82,138,2
F,1004315,75+,Yvgeni Henderson,83.30,52,-56,-56,52,76,80,84,84,136,3
F,180276,75+,Tricia Prestopino,130.80,48,-51,51,51,65,69,72,72,123,4
M,1003133,56,Trevor Owens,50.55,45,48,51,51,59,63,66,66,117,1
M,1003056,56,Caleb Campos,43.50,-32,34,36,36,41,45,48,48,84,2
M,1001683,56,Brandon Sheets,49.95,30,-32,-34,30,41,-44,-46,41,71,3
M,220161,56,Joe Baisley,32.80,27,29,30,30,36,38,40,40,70,4
M,1008926,56,Bryson Duncan,31.00,11,13,15,15,15,17,18,18,33,5
M,212902,62,Jareth Burgos,56.65,53,57,60,60,70,75,78,78,138,1
M,178607,69,Matt Wininger,67.80,86,91,-95,91,118,123,-126,123,214,1
M,209562,69,Wesley Richardson,66.70,73,77,-80,77,95,102,-107,102,179,2
M,193644,69,Corbin Cansler,67.40,-72,72,-76,72,-91,91,-98,91,163,3
M,167758,77,Mike Szela,73.60,120,-124,124,124,-145,145,-154,145,269,1
M,189381,77,Rob Turner,75.65,-102,-102,102,102,-130,130,-131,130,232,2
M,1004977,77,Connor Hanafee,76.10,86,90,-95,90,125,129,-134,129,219,3
M,214488,77,Robert Hoffman,74.40,88,91,-93,91,112,115,-117,115,206,4
M,188983,77,Aaron Ledford,76.70,-88,88,91,91,105,109,113,113,204,5
M,1009369,77,Dustin Huffman,76.40,81,85,90,90,95,100,107,107,197,6
M,101023,77,Arence Gowe,71.70,70,75,79,79,90,95,-100,95,174,7
M,170229,85,Ryan Tyler,84.20,117,-121,125,125,145,-150,-153,145,270,1
M,196298,85,Patrick Steele,84.30,-112,112,-116,112,138,-142,-143,138,250,2
M,1010959,85,Matthew Gregory,80.20,-102,102,-107,102,125,132,141,141,243,3
M,1010129,85,Ademayowa Aderibigbe,84.75,95,100,106,106,126,-131,136,136,242,4
